,File,Line,Column,DefaultLevel,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint,ToolVersion,RuleId,HelpUri
0,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_56awq8by_Flawfinder,549,3,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"		memcpy((uint8_t *)lowpan, uip_lladdr.addr, 8);",7e4002f0298e5027c4964330c1e4d757701d52902db93e04014afb423bec03a0,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
1,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_56awq8by_Flawfinder,615,3,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"		memcpy(ethernet, &uip_lladdr.addr[2], 6);",d04cd5031290f6a9e3013e9848e266727c72e6f8cbe30f0b4f78834b6c1e0f27,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
2,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_56awq8by_Flawfinder,779,3,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"  memcpy(&raw_buf[UIP_LLH_LEN], frame_result->frame, frame_result->length);",c55e81f6560e38bef4439a4eaa16557e780778293ce17693a028245be35704cb,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
3,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_56awq8by_Flawfinder,842,3,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"  memcpy(&raw_buf[UIP_LLH_LEN], radio_frame_data(), radio_frame_length());",1fe86dabbd12e85c0ec55df4f1deffbacfd3d6803b08b6dd299915f014efd687,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
4,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_iy_khv4s_Flawfinder,221,2,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"	memcpy(outbuf, &rxbuf[begin], len);",9b96a26ffecd040cbf6f8936b92f8924bb8f65457cffdb27a2d69a0fb2f73f94,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
5,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_iy_khv4s_Flawfinder,269,7,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,      char buf[8];,794dd086f29fe8304359c335f25d99574851f607ff35b5fa940ffbc8b6b35d2c,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
6,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_iy_khv4s_Flawfinder,270,7,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"      memcpy(&buf[0], ""=IPA"", 4);",478bff6404cd1b7defc04b1346ad76bcb8e6b84dbb99b13299419df366ee0acd,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
7,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_iy_khv4s_Flawfinder,271,7,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"      memcpy(&buf[4], &uip_hostaddr, 4);",53395edef93caa9625d76c73403896527379e49a0a98a16f6f108360ed101a1c,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
8,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_rlyk13ra_Flawfinder,33,3,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"  memcpy(ipaddr->u8 + 8, lladdr, UIP_LLADDR_LEN);",3a3d2962d3628e35edfed824ce8be70e99a66937b75aef1c45f48f9cdb3e6668,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
9,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_rlyk13ra_Flawfinder,36,3,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"  memcpy(ipaddr->u8 + 8, lladdr, 3);",0620ec05f80dde0cd6bdc53f6c6ccbf8da77cbc170b65272c33897eb37575b65,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
