,cyclomatic_complexity,nloc,token_count,name,long_name,start_line,end_line,filename,top_nesting_level,code,CWEs,is_vul
0,1,7,30,mac_ethernetSetup,mac_ethernetSetup( void),204,217,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_56awq8by_Flawfinder,0,"mac_ethernetSetup( void)    ETHBUF(raw_buf)->dest.addr[3] = UIP_IP_BUF->destipaddr.u8[13];
    ETHBUF(raw_buf)->dest.addr[4] = UIP_IP_BUF->destipaddr.u8[14];
    ETHBUF(raw_buf)->dest.addr[5] = UIP_IP_BUF->destipaddr.u8[15];
  } else {

	//Otherwise we have a real address
	mac_createEthernetAddr((uint8_t *) &(ETHBUF(raw_buf)->dest.addr[0]),
            (uip_lladdr_t *)packetbuf_addr(PACKETBUF_ADDR_RECEIVER));

  }

  mac_createEthernetAddr((uint8_t *) &(ETHBUF(raw_buf)->src.addr[0]),
                         (uip_lladdr_t *)packetbuf_addr(PACKETBUF_ADDR_SENDER));
",[],False
1,15,49,369,mac_ethernetToLowpan,mac_ethernetToLowpan( uint8_t * ethHeader),224,298,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_56awq8by_Flawfinder,0,mac_ethernetToLowpan( uint8_t * ethHeader),[],False
2,3,22,232,mac_LowpanToEthernet,mac_LowpanToEthernet( void),305,345,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_56awq8by_Flawfinder,0,mac_LowpanToEthernet( void),[],False
3,3,9,34,mac_translateIPLinkLayer,mac_translateIPLinkLayer( lltype_t target),358,371,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_56awq8by_Flawfinder,0,mac_translateIPLinkLayer( lltype_t target),[],False
4,22,81,507,mac_translateIcmpLinkLayer,mac_translateIcmpLinkLayer( lltype_t target),398,531,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_56awq8by_Flawfinder,0,mac_translateIcmpLinkLayer( lltype_t target),[],False
5,6,31,261,mac_createSicslowpanLongAddr,"mac_createSicslowpanLongAddr( uint8_t * ethernet , uip_lladdr_t * lowpan)",539,595,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_56awq8by_Flawfinder,0,"mac_createSicslowpanLongAddr( uint8_t * ethernet , uip_lladdr_t * lowpan)","[('CWE-120', '\t\tmemcpy((uint8_t *)lowpan, uip_lladdr.addr, 8);')]",True
6,15,50,458,mac_createEthernetAddr,"mac_createEthernetAddr( uint8_t * ethernet , uip_lladdr_t * lowpan)",603,690,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_56awq8by_Flawfinder,0,"mac_createEthernetAddr( uint8_t * ethernet , uip_lladdr_t * lowpan)","[('CWE-120', '\t\tmemcpy(ethernet, &uip_lladdr.addr[2], 6);')]",True
7,5,15,88,slide,"slide( uint8_t * data , uint8_t length , int16_t slide)",701,723,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_56awq8by_Flawfinder,0,"slide( uint8_t * data , uint8_t length , int16_t slide)",[],False
8,6,11,47,mac_ethhijack,mac_ethhijack( const struct mac_driver * r),733,752,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_56awq8by_Flawfinder,0,mac_ethhijack( const struct mac_driver * r),[],False
9,2,5,21,mac_ethhijack_nondata,mac_ethhijack_nondata( const struct mac_driver * r),756,760,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_56awq8by_Flawfinder,0,mac_ethhijack_nondata( const struct mac_driver * r),[],False
10,4,32,325,mac_logTXtoEthernet,"mac_logTXtoEthernet( frame_create_params_t * p , frame_result_t * frame_result)",771,824,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_56awq8by_Flawfinder,0,"mac_logTXtoEthernet( frame_create_params_t * p , frame_result_t * frame_result)","[('CWE-120', '  memcpy(&raw_buf[UIP_LLH_LEN], frame_result->frame, frame_result->length);')]",True
11,3,27,280,mac_802154raw,mac_802154raw( const struct mac_driver * r),835,878,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_56awq8by_Flawfinder,0,mac_802154raw( const struct mac_driver * r),"[('CWE-120', '  memcpy(&raw_buf[UIP_LLH_LEN], radio_frame_data(), radio_frame_length());')]",True
12,1,4,17,slip_set_input_callback,slip_set_input_callback( void(*c)(void)),93,96,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_iy_khv4s_Flawfinder,0,"slip_set_input_callback( void(*c)(void))  }

  /* There could be a separate poll routine for this. */
",[],False
13,1,4,17,slip_set_tcpip_input_callback,slip_set_tcpip_input_callback( void(*c)(void)),99,102,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_iy_khv4s_Flawfinder,0,slip_set_tcpip_input_callback( void(*c)(void)),[],False
14,5,24,114,slip_send,slip_send( void),106,132,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_iy_khv4s_Flawfinder,0,slip_send( void),[],False
15,4,20,99,slip_write,"slip_write( const void * _ptr , int len)",136,158,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_iy_khv4s_Flawfinder,0,"slip_write( const void * _ptr , int len)",[],False
16,1,5,18,rxbuf_init,rxbuf_init( void),161,165,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_iy_khv4s_Flawfinder,0,rxbuf_init( void),[],False
17,18,66,403,slip_poll_handler,"slip_poll_handler( uint8_t * outbuf , uint16_t blen)",169,251,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_iy_khv4s_Flawfinder,0,"slip_poll_handler( uint8_t * outbuf , uint16_t blen)","[('CWE-120', '\tmemcpy(outbuf, &rxbuf[begin], len);')]",True
