code,label
 ( strlen ( me ) ,1
 *pBuffer = MQTT_PACKET_TYPE_CONNECT ; pBuffer++ ;,1
 *pBuffer1 = MQTT_PACKET_TYPE_CONNECT1 ; pBuffer++ ;,1
 ActualFreq 1 = cc1ComputeFreq ( DesiredFreq1 ) ;,1
 ActualFreq = cc1000ComputeFreq ( DesiredFreq ) ;,1
 ActualFreq = cc1000ComputeFreq ( DesiredFreq ) ; ,1
 action = NONE ; action = NONE ; ,1
" bad ( ) { goto sink ; sink: { char filename [ 100 ] = "" "" ; struct STAT statBuffer ; int fileDesc = -1 ; if ( fgets ( filename , 100 , stdin ) == NULL ) { print Line ( "" fgets ( ) failed "" ) ; filename [ 0 ] = '",1
" bad ( ) { if ( 5 == 5 ) { { char filename [ 100 ] = "" "" ; struct STAT statBuffer ; int fileDesc = -1 ; if ( fgets ( filename , 100 , stdin ) == NULL ) { print Line ( "" fgets ( ) failed "" ) ; filename [ 0 ] = '",1
" bad ( ) { if ( GLOBAL_CONST_FIVE == 5 ) { { char filename [ 100 ] = "" "" ; struct STAT statBuffer ; int fileDesc = -1 ; if ( fgets ( filename , 100 , stdin ) == NULL ) { print Line ( "" fgets ( ) failed "" ) ; filename [ 0 ] = '",1
" bad ( ) { if ( GLOBAL_CONST_TRUE ) { { char filename [ 100 ] = "" "" ; struct STAT statBuffer ; int fileDesc = -1 ; if ( fgets ( filename , 100 , stdin ) == NULL ) { print Line ( "" fgets ( ) failed "" ) ; filename [ 0 ] = '",1
" bad ( ) { if ( STATIC_CONST_FIVE == 5 ) { { char filename [ 100 ] = "" "" ; struct STAT statBuffer ; int fileDesc = -1 ; if ( fgets ( filename , 100 , stdin ) == NULL ) { print Line ( "" fgets ( ) failed "" ) ; filename [ 0 ] = '",1
" bad ( ) { if ( STATIC_CONST_TRUE ) { { char filename [ 100 ] = "" "" ; struct STAT statBuffer ; int fileDesc = -1 ; if ( fgets ( filename , 100 , stdin ) == NULL ) { print Line ( "" fgets ( ) failed "" ) ; filename [ 0 ] = '",1
" bad ( ) { if ( globalFive == 5 ) { { char filename [ 100 ] = "" "" ; struct STAT statBuffer ; int fileDesc = -1 ; if ( fgets ( filename , 100 , stdin ) == NULL ) { print Line ( "" fgets ( ) failed "" ) ; filename [ 0 ] = '",1
" bad ( ) { if ( globalReturnsTrue ( ) ) { { char filename [ 100 ] = "" "" ; int fileDesc = -1 ; if ( fgets ( filename , 100 , stdin ) == NULL ) { print Line ( "" fgets ( ) failed "" ) ; filename [ 0 ] = '",1
" bad ( ) { if ( globalReturnsTrue ( ) ) { { char filename [ 100 ] = "" "" ; struct STAT statBuffer ; int fileDesc = -1 ; if ( fgets ( filename , 100 , stdin ) == NULL ) { print Line ( "" fgets ( ) failed "" ) ; filename [ 0 ] = '",1
" bad ( ) { if ( globalReturnsTrueOrFalse ( ) ) { { char filename [ 100 ] = "" "" ; struct STAT statBuffer ; int fileDesc = -1 ; if ( fgets ( filename , 100 , stdin ) == NULL ) { print Line ( "" fgets ( ) failed "" ) ; filename [ 0 ] = '",1
" bad ( ) { if ( globalTrue ) { { char filename [ 100 ] = "" "" ; struct STAT statBuffer ; int fileDesc = -1 ; if ( fgets ( filename , 100 , stdin ) == NULL ) { print Line ( "" fgets ( ) failed "" ) ; filename [ 0 ] = '",1
" bad ( ) { if ( staticFive == 5 ) { { char filename [ 100 ] = "" "" ; struct STAT statBuffer ; int fileDesc = -1 ; if ( fgets ( filename , 100 , stdin ) == NULL ) { print Line ( "" fgets ( ) failed "" ) ; filename [ 0 ] = '",1
" bad ( ) { if ( staticReturnsTrue ( ) ) { { char filename [ 100 ] = "" "" ; struct STAT statBuffer ; int fileDesc = -1 ; if ( fgets ( filename , 100 , stdin ) == NULL ) { print Line ( "" fgets ( ) failed "" ) ; filename [ 0 ] = '",1
" bad ( ) { if ( staticTrue ) { { char filename [ 100 ] = "" "" ; struct STAT statBuffer ; int fileDesc = -1 ; if ( fgets ( filename , 100 , stdin ) == NULL ) { print Line ( "" fgets ( ) failed "" ) ; filename [ 0 ] = '",1
