,file,line,column,category,name,msg,note,cwe,context,helpuri,tool,severity,defaultlevel,level,suggestion,fingerprint,toolversion,ruleid
0,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_9pfkx889_Flawfinder,46.0,3,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",CWE-119!/CWE-120,  char inputbuf[50];,https://cwe.mitre.org/data/definitions/119.html,FlawFinder,,,,,,,
1,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_9pfkx889_Flawfinder,47.0,3,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",CWE-119!/CWE-120,  char filename[20];,https://cwe.mitre.org/data/definitions/119.html,FlawFinder,,,,,,,
2,data/projects/contiki-2.4/apps/ftp/ftpc.c,288.0,11,,wrongPrintfScanfArgNum,sprintf format string requires 6 parameters but only 3 are given.,[],CWE-685,,,CppCheck,error,,,,,,
3,data/projects/contiki-2.4/apps/irc/irc.c,129.0,3,,overlappingWriteFunction,Overlapping read/write in memcpy() is undefined behavior,[],,,,CppCheck,error,,,,,,
4,data/projects/contiki-2.4/apps/irc/irc.c,148.0,5,,overlappingWriteFunction,Overlapping read/write in memcpy() is undefined behavior,[],,,,CppCheck,error,,,,,,
5,data/projects/contiki-2.4/apps/shell/shell-blink.c,61.0,3,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If PROCESS_EXITHANDLER is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
6,data/projects/contiki-2.4/apps/shell/shell-download.c,248.0,49,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If ; is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
7,data/projects/contiki-2.4/apps/shell/shell-rime-neighbors.c,80.0,66,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If ; is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
8,data/projects/contiki-2.4/apps/shell/shell-rime-sniff.c,129.0,32,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If ; is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
9,data/projects/contiki-2.4/apps/shell/shell-rime-unicast.c,176.0,39,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If ; is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
10,data/projects/contiki-2.4/apps/shell/shell-vars.c,109.0,12,,bufferAccessOutOfBounds,Buffer is accessed out of bounds: numbuf,Buffer overrun,CWE-788,,,CppCheck,error,,,,,,
11,data/projects/contiki-2.4/apps/webserver/webserver.c,98.0,3,,overlappingWriteFunction,Overlapping read/write in memcpy() is undefined behavior,[],,,,CppCheck,error,,,,,,
12,data/projects/contiki-2.4/apps/webserver/webserver.c,119.0,3,,overlappingWriteFunction,Overlapping read/write in memcpy() is undefined behavior,[],,,,CppCheck,error,,,,,,
13,data/projects/contiki-2.4/apps/ftp/ftpc.c,288,11,,wrongPrintfScanfArgNum,sprintf format string requires 6 parameters but only 3 are given.,[],CWE-685,,,CppCheck,error,,,,,,
14,data/projects/contiki-2.4/apps/irc/irc.c,129,3,,overlappingWriteFunction,Overlapping read/write in memcpy() is undefined behavior,[],,,,CppCheck,error,,,,,,
15,data/projects/contiki-2.4/apps/irc/irc.c,148,5,,overlappingWriteFunction,Overlapping read/write in memcpy() is undefined behavior,[],,,,CppCheck,error,,,,,,
16,data/projects/contiki-2.4/apps/shell/shell-blink.c,61,3,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If PROCESS_EXITHANDLER is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
17,data/projects/contiki-2.4/apps/shell/shell-download.c,248,49,,unknownMacro,There is an unknown macro here somewhere. Configuration is required. If ; is a macro then please configure it.,[],,,,CppCheck,error,,,,,,
