,cyclomatic_complexity,nloc,token_count,name,long_name,start_line,end_line,filename,code,fun_name,content,is_vul,cwe
0,3,13,97,PT_THREAD,PT_THREAD( send_file(struct httpd_state*s)),70,87,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_4pq_l7ax_Flawfinder,"PT_THREAD( send_file(struct httpd_state*s)){
  PSOCK_BEGIN(&s->sout);
  
  do {
    /* Read data from file system into buffer */
    s->len = cfs_read(s->fd, s->outputbuf, sizeof(s->outputbuf));

    /* If there is data in the buffer, send it */
    if(s->len > 0) {
      PSOCK_SEND(&s->sout, (uint8_t *)s->outputbuf, s->len);
    } else {
      break;
    }
  } while(s->len > 0);
      
  PSOCK_END(&s->sout);
}
",PT_THREAD,,True,unknown_vul
1,1,6,43,PT_THREAD,"PT_THREAD( send_string(struct httpd_state*s,const char*str))",90,97,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_4pq_l7ax_Flawfinder,"PT_THREAD( send_string(struct httpd_state*s,const char*str)){
  PSOCK_BEGIN(&s->sout);

  SEND_STRING(&s->sout, str);

  PSOCK_END(&s->sout);
}
",PT_THREAD,,False,benign
2,6,21,193,PT_THREAD,"PT_THREAD( send_headers(struct httpd_state*s,const char*statushdr))",100,123,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_4pq_l7ax_Flawfinder,"PT_THREAD( send_headers(struct httpd_state*s,const char*statushdr)){
  char *ptr;

  PSOCK_BEGIN(&s->sout);

  SEND_STRING(&s->sout, statushdr);

  ptr = strrchr(s->filename, ISO_period);
  if(ptr == NULL) {
    SEND_STRING(&s->sout, http_content_type_plain);
  } else if(strncmp(http_html, ptr, 5) == 0) {
    SEND_STRING(&s->sout, http_content_type_html);
  } else if(strncmp(http_css, ptr, 4) == 0) {
    SEND_STRING(&s->sout, http_content_type_css);
  } else if(strncmp(http_png, ptr, 4) == 0) {
    SEND_STRING(&s->sout, http_content_type_png);
  } else if(strncmp(http_jpg, ptr, 4) == 0) {
    SEND_STRING(&s->sout, http_content_type_jpg);
  } else {
    SEND_STRING(&s->sout, http_content_type_binary);
  }
  PSOCK_END(&s->sout);
}
",PT_THREAD,,True,"[nan, 'CWE-788']"
3,3,32,255,PT_THREAD,PT_THREAD( handle_output(struct httpd_state*s)),126,158,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_4pq_l7ax_Flawfinder,"PT_THREAD( handle_output(struct httpd_state*s)){
  PT_BEGIN(&s->outputpt);

  petsciiconv_topetscii(s->filename, sizeof(s->filename));
  s->fd = cfs_open(s->filename, CFS_READ);
  petsciiconv_toascii(s->filename, sizeof(s->filename));
  if(s->fd < 0) {
    strcpy(s->filename, ""notfound.html"");
    s->fd = cfs_open(s->filename, CFS_READ);
    petsciiconv_toascii(s->filename, sizeof(s->filename));
    if(s->fd < 0) {
      PT_WAIT_THREAD(&s->outputpt,
                     send_headers(s, http_header_404));
      PT_WAIT_THREAD(&s->outputpt,
                     send_string(s, ""not found""));
      uip_close();
      webserver_log_file(&uip_conn->ripaddr, ""404 (no notfound.html)"");
      PT_EXIT(&s->outputpt);
    }
    PT_WAIT_THREAD(&s->outputpt,
		   send_headers(s, http_header_404));
    webserver_log_file(&uip_conn->ripaddr, ""404 - notfound.html"");
  } else {
    PT_WAIT_THREAD(&s->outputpt,
		   send_headers(s, http_header_200));
  }
  PT_WAIT_THREAD(&s->outputpt, send_file(s));
  cfs_close(s->fd);
  s->fd = -1;
  PSOCK_CLOSE(&s->sout);
  PT_END(&s->outputpt);
}
",PT_THREAD,,True,"[nan, 'CWE-120']"
4,6,31,289,PT_THREAD,PT_THREAD( handle_input(struct httpd_state*s)),161,199,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_4pq_l7ax_Flawfinder,"PT_THREAD( handle_input(struct httpd_state*s)){
  PSOCK_BEGIN(&s->sin);

  PSOCK_READTO(&s->sin, ISO_space);
  
  if(strncmp(s->inputbuf, http_get, 4) != 0) {
    PSOCK_CLOSE_EXIT(&s->sin);
  }
  PSOCK_READTO(&s->sin, ISO_space);

  if(s->inputbuf[0] != ISO_slash) {
    PSOCK_CLOSE_EXIT(&s->sin);
  }

  if(s->inputbuf[1] == ISO_space) {
    strncpy(s->filename, &http_index_html[1], sizeof(s->filename));
  } else {
    s->inputbuf[PSOCK_DATALEN(&s->sin) - 1] = 0;
    strncpy(s->filename, &s->inputbuf[1], sizeof(s->filename));
  }

  petsciiconv_topetscii(s->filename, sizeof(s->filename));
  webserver_log_file(&uip_conn->ripaddr, s->filename);
  petsciiconv_toascii(s->filename, sizeof(s->filename));
  s->state = STATE_OUTPUT;

  while(1) {
    PSOCK_READTO(&s->sin, ISO_nl);

    if(strncmp(s->inputbuf, http_referer, 8) == 0) {
      s->inputbuf[PSOCK_DATALEN(&s->sin) - 2] = 0;
      petsciiconv_topetscii(s->inputbuf, PSOCK_DATALEN(&s->sin) - 2);
      webserver_log(s->inputbuf);
    }
  }
  
  PSOCK_END(&s->sin);
}
",PT_THREAD,,True,"[nan, 'CWE-120']"
5,2,7,29,handle_connection,handle_connection( struct httpd_state * s),202,208,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_4pq_l7ax_Flawfinder,"handle_connection( struct httpd_state * s){
  handle_input(s);
  if(s->state == STATE_OUTPUT) {
    handle_output(s);
  }
}
",handle_connection,,False,benign
6,12,45,315,httpd_appcall,httpd_appcall( void * state),211,256,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_4pq_l7ax_Flawfinder,"httpd_appcall( void * state){
  struct httpd_state *s = (struct httpd_state *)state;

  if(uip_closed() || uip_aborted() || uip_timedout()) {
    if(s != NULL) {
      if(s->fd >= 0) {
        cfs_close(s->fd);
	s->fd = -1;
      }
      memb_free(&conns, s);
    }
  } else if(uip_connected()) {
    s = (struct httpd_state *)memb_alloc(&conns);
    if(s == NULL) {
      uip_abort();
      webserver_log_file(&uip_conn->ripaddr, ""reset (no memory block)"");
      return;
    }
    tcp_markconn(uip_conn, s);
    PSOCK_INIT(&s->sin, (uint8_t *)s->inputbuf, sizeof(s->inputbuf) - 1);
    PSOCK_INIT(&s->sout, (uint8_t *)s->inputbuf, sizeof(s->inputbuf) - 1);
    PT_INIT(&s->outputpt);
    s->fd = -1;
    s->state = STATE_WAITING;
    timer_set(&s->timer, CLOCK_SECOND * 10);
    handle_connection(s);
  } else if(s != NULL) {
    if(uip_poll()) {
      if(timer_expired(&s->timer)) {
	uip_abort();
	if(s->fd >= 0) {
	  cfs_close(s->fd);
	  s->fd = -1;
	}
        memb_free(&conns, s);
        webserver_log_file(&uip_conn->ripaddr, ""reset (timeout)"");
      }
    } else {
      timer_restart(&s->timer);
    }
    handle_connection(s);
  } else {
    uip_abort();
  }
}
",httpd_appcall,,True,unknown_vul
7,1,5,20,httpd_init,httpd_init( void),259,263,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_4pq_l7ax_Flawfinder,"httpd_init( void){
  tcp_listen(HTONS(80));
  memb_init(&conns);
}
",httpd_init,,False,benign
8,2,10,40,PROCESS_THREAD,"PROCESS_THREAD( webserver_nogui_process , ev , data)",51,63,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_ze9fwbzj_Flawfinder,"PROCESS_THREAD( webserver_nogui_process , ev , data){
  PROCESS_BEGIN();

  httpd_init();

  while(1) {
    PROCESS_WAIT_EVENT_UNTIL(ev == tcpip_event);
    httpd_appcall(data);
  }
  
  PROCESS_END();
}
",PROCESS_THREAD,,True,unknown_vul
9,2,10,40,PROCESS_THREAD,"PROCESS_THREAD( webserver_nogui_process , ev , data)",51,63,/var/folders/p_/9ryggq9s67zbhxhzlms6wmzw0000gn/T/Filename_ze9fwbzj_Flawfinder,"PROCESS_THREAD( webserver_nogui_process , ev , data){
  PROCESS_BEGIN();

  httpd_init();

  while(1) {
    PROCESS_WAIT_EVENT_UNTIL(ev == tcpip_event);
    httpd_appcall(data);
  }
  
  PROCESS_END();
}
",PROCESS_THREAD,,True,unknown_vul
